,importance
Home Score,0.14845185445965037
Away Score,0.14003348970676494
ORtg_home,0.013911429543297793
SRS_home,0.013109408638033539
PL_home,0.012526366816746539
L_advanced_away,0.0107085118421902
TSpct_home,0.010420978134044774
NRtg_home,0.009953344069198138
PW_home,0.009717698244958228
TSpct_away,0.009397229737901538
