time,"
Boston Celtics
",score,"
Dallas Mavericks
",url
8:26.0,"{'player': 'P. Pritchard', 'action': 'makes 2-pt layup from 1 ft'}",37-32,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:26.0,"{'player': '', 'action': ''}",37-32,"{'player': '', 'action': 'Dallas full timeout'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:26.0,"{'player': 'J. Brown S. Hauser', 'action': 'J. Brown enters the game for S. Hauser'}",37-32,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:12.0,"{'player': '', 'action': ''}",37-32,"{'player': 'J. Green', 'action': 'Turnover by  (out of bounds lost ball)'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:02.0,"{'player': 'J. Tatum P. Pritchard', 'action': 'J. Tatum makes 2-pt jump shot from 18 ft (assist by P. Pritchard )'}",39-32,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:43.0,"{'player': '', 'action': ''}",39-35,"{'player': 'J. Green L. Dončić', 'action': 'J. Green makes 3-pt jump shot from 26 ft (assist by L. Dončić )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:29.0,"{'player': 'P. Pritchard J. Tatum', 'action': 'P. Pritchard makes 3-pt jump shot from 25 ft (assist by J. Tatum )'}",42-35,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:12.0,"{'player': '', 'action': ''}",42-35,"{'player': 'M. Kleber', 'action': 'misses 3-pt jump shot from 24 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:09.0,"{'player': 'J. Holiday', 'action': 'Defensive rebound by'}",42-35,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:05.0,"{'player': 'A. Horford', 'action': 'misses 3-pt jump shot from 23 ft'}",42-35,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:03.0,"{'player': 'P. Pritchard', 'action': 'Offensive rebound by'}",42-35,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:59.0,"{'player': 'J. Holiday P. Pritchard', 'action': 'J. Holiday makes 3-pt jump shot from 26 ft (assist by P. Pritchard )'}",45-35,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:45.0,"{'player': '', 'action': ''}",45-35,"{'player': 'J. Brown J. Green', 'action': 'Personal foul by J. Brown (drawn by J. Green )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:45.0,"{'player': 'D. White J. Holiday', 'action': 'D. White enters the game for J. Holiday'}",45-35,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:45.0,"{'player': '', 'action': ''}",45-35,"{'player': 'K. Irving T. Hardaway', 'action': 'K. Irving enters the game for T. Hardaway'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:36.0,"{'player': '', 'action': ''}",45-37,"{'player': 'L. Dončić J. Green', 'action': 'L. Dončić makes 2-pt layup from 1 ft (assist by J. Green )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:25.0,"{'player': 'J. Brown D. White', 'action': 'J. Brown makes 2-pt layup from 4 ft (assist by D. White )'}",47-37,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:08.0,"{'player': '', 'action': ''}",47-37,"{'player': 'K. Irving', 'action': 'misses 2-pt jump shot from 9 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:05.0,"{'player': 'P. Pritchard', 'action': 'Defensive rebound by'}",47-37,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:58.0,"{'player': 'J. Tatum', 'action': 'misses 2-pt layup from 3 ft'}",47-37,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:54.0,"{'player': '', 'action': ''}",47-37,"{'player': 'J. Green', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:51.0,"{'player': '', 'action': ''}",47-39,"{'player': 'D. Jones L. Dončić', 'action': 'D. Jones makes 2-pt dunk at rim (assist by L. Dončić )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:29.0,"{'player': 'J. Brown', 'action': 'makes 2-pt jump shot from 14 ft'}",49-39,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:19.0,"{'player': '', 'action': ''}",49-39,"{'player': 'L. Dončić', 'action': 'misses 3-pt jump shot from 26 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:17.0,"{'player': '', 'action': 'Defensive rebound by Team'}",49-39,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:17.0,"{'player': '', 'action': ''}",49-39,"{'player': 'D. Lively J. Green', 'action': 'D. Lively enters the game for J. Green'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:03.0,"{'player': 'J. Brown', 'action': 'makes 2-pt jump shot from 16 ft'}",51-39,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:03.0,"{'player': 'L. Dončić J. Brown', 'action': 'Shooting foul by L. Dončić (drawn by J. Brown )'}",51-39,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:03.0,"{'player': '', 'action': ''}",51-39,"{'player': 'L. Dončić', 'action': 'Technical foul by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:03.0,"{'player': 'J. Brown', 'action': 'misses technical free throw'}",51-39,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:03.0,"{'player': '', 'action': 'Offensive rebound by Team'}",51-39,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:03.0,"{'player': 'L. Kornet P. Pritchard', 'action': 'L. Kornet enters the game for P. Pritchard'}",51-39,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:03.0,"{'player': '', 'action': ''}",51-39,"{'player': 'T. Hardaway L. Dončić', 'action': 'T. Hardaway enters the game for L. Dončić'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:03.0,"{'player': 'J. Brown', 'action': 'makes free throw 1 of 1'}",52-39,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
4:50.0,"{'player': '', 'action': ''}",52-41,"{'player': 'M. Kleber K. Irving', 'action': 'M. Kleber makes 2-pt layup from 1 ft (assist by K. Irving )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
4:41.0,"{'player': 'A. Horford J. Brown', 'action': 'A. Horford makes 3-pt jump shot from 26 ft (assist by J. Brown )'}",55-41,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
4:33.0,"{'player': '', 'action': ''}",55-41,"{'player': 'J. Brown K. Irving', 'action': 'Personal foul by J. Brown (drawn by K. Irving )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
4:33.0,"{'player': 'S. Hauser J. Tatum', 'action': 'S. Hauser enters the game for J. Tatum'}",55-41,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
4:24.0,"{'player': '', 'action': ''}",55-44,"{'player': 'T. Hardaway K. Irving', 'action': 'T. Hardaway makes 3-pt jump shot from 25 ft (assist by K. Irving )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
4:01.0,"{'player': 'D. White', 'action': 'misses 2-pt jump shot from 6 ft'}",55-44,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:59.0,"{'player': '', 'action': ''}",55-44,"{'player': 'K. Irving', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:56.0,"{'player': '', 'action': ''}",55-44,"{'player': 'K. Irving', 'action': 'Turnover by  (out of bounds lost ball)'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:56.0,"{'player': '', 'action': 'Boston full timeout'}",55-44,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:56.0,"{'player': '', 'action': 'Instant Replay (Challenge: Ruling Stands)'}",55-44,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:41.0,"{'player': 'L. Kornet', 'action': 'misses 2-pt dunk from 4 ft'}",55-44,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:37.0,"{'player': '', 'action': ''}",55-44,"{'player': 'T. Hardaway', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:31.0,"{'player': '', 'action': ''}",55-46,"{'player': 'T. Hardaway', 'action': 'makes 2-pt jump shot from 15 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:14.0,"{'player': 'J. Brown D. Lively', 'action': 'J. Brown misses 2-pt layup from 3 ft (block by D. Lively )'}",55-46,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:13.0,"{'player': '', 'action': 'Offensive rebound by Team'}",55-46,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:13.0,"{'player': 'J. Holiday S. Hauser', 'action': 'J. Holiday enters the game for S. Hauser'}",55-46,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:13.0,"{'player': 'J. Tatum L. Kornet', 'action': 'J. Tatum enters the game for L. Kornet'}",55-46,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:13.0,"{'player': '', 'action': ''}",55-46,"{'player': 'L. Dončić D. Jones', 'action': 'L. Dončić enters the game for D. Jones'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:13.0,"{'player': '', 'action': ''}",55-46,"{'player': 'G. Williams M. Kleber', 'action': 'G. Williams enters the game for M. Kleber'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:10.0,"{'player': 'D. White J. Holiday', 'action': 'D. White makes 3-pt jump shot from 26 ft (assist by J. Holiday )'}",58-46,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
2:54.0,"{'player': '', 'action': ''}",58-49,"{'player': 'T. Hardaway G. Williams', 'action': 'T. Hardaway makes 3-pt jump shot from 24 ft (assist by G. Williams )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
2:30.0,"{'player': 'A. Horford J. Tatum', 'action': 'A. Horford makes 3-pt jump shot from 23 ft (assist by J. Tatum )'}",61-49,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
2:17.0,"{'player': '', 'action': ''}",61-49,"{'player': 'L. Dončić', 'action': 'misses 3-pt jump shot from 25 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
2:13.0,"{'player': 'D. White', 'action': 'Defensive rebound by'}",61-49,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
2:05.0,"{'player': 'A. Horford L. Dončić', 'action': 'Turnover by A. Horford (lost ball; steal by L. Dončić )'}",61-49,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:59.0,"{'player': '', 'action': ''}",61-52,"{'player': 'T. Hardaway', 'action': 'makes 3-pt jump shot from 27 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:41.0,"{'player': 'J. Holiday', 'action': 'misses 3-pt jump shot from 26 ft'}",61-52,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:38.0,"{'player': '', 'action': ''}",61-52,"{'player': 'G. Williams', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:31.0,"{'player': '', 'action': ''}",61-54,"{'player': 'T. Hardaway', 'action': 'makes 2-pt jump shot from 13 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:15.0,"{'player': 'D. Lively J. Brown', 'action': 'Shooting foul by D. Lively (drawn by J. Brown )'}",61-54,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:15.0,"{'player': 'J. Brown', 'action': 'misses free throw 1 of 2'}",61-54,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:15.0,"{'player': '', 'action': 'Offensive rebound by Team'}",61-54,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:15.0,"{'player': 'J. Brown', 'action': 'makes free throw 2 of 2'}",62-54,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:04.0,"{'player': '', 'action': ''}",62-57,"{'player': 'K. Irving L. Dončić', 'action': 'K. Irving makes 3-pt jump shot from 24 ft (assist by L. Dončić )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:41.0,"{'player': 'J. Tatum', 'action': 'misses 3-pt jump shot from 26 ft'}",62-57,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:39.0,"{'player': 'A. Horford', 'action': 'Offensive rebound by'}",62-57,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:36.0,"{'player': 'J. Brown J. Tatum', 'action': 'J. Brown makes 3-pt jump shot from 23 ft (assist by J. Tatum )'}",65-57,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:25.0,"{'player': '', 'action': ''}",65-57,"{'player': 'A. Horford L. Dončić', 'action': 'Shooting foul by A. Horford (drawn by L. Dončić )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:25.0,"{'player': '', 'action': ''}",65-58,"{'player': 'L. Dončić', 'action': 'makes free throw 1 of 2'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:25.0,"{'player': '', 'action': ''}",65-58,"{'player': 'D. Jones K. Irving', 'action': 'D. Jones enters the game for K. Irving'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:25.0,"{'player': '', 'action': ''}",65-59,"{'player': 'L. Dončić', 'action': 'makes free throw 2 of 2'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:03.0,"{'player': 'D. Jones J. Tatum', 'action': 'Shooting foul by D. Jones (drawn by J. Tatum )'}",65-59,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:03.0,"{'player': 'J. Tatum', 'action': 'misses free throw 1 of 2'}",65-59,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:03.0,"{'player': '', 'action': 'Offensive rebound by Team'}",65-59,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:03.0,"{'player': 'P. Pritchard J. Brown', 'action': 'P. Pritchard enters the game for J. Brown'}",65-59,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:03.0,"{'player': '', 'action': ''}",65-59,"{'player': 'K. Irving D. Jones', 'action': 'K. Irving enters the game for D. Jones'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:03.0,"{'player': 'J. Tatum', 'action': 'misses free throw 2 of 2'}",65-59,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:01.0,"{'player': '', 'action': ''}",65-59,"{'player': 'G. Williams', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:00.0,"{'player': '', 'action': ''}",65-59,"{'player': 'G. Williams J. Tatum', 'action': 'G. Williams misses 3-pt jump shot from 45 ft (block by J. Tatum )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:00.0,"{'player': '', 'action': ''}",65-59,"{'player': '', 'action': 'Offensive rebound by Team'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:47.0,"{'player': '', 'action': ''}",65-61,"{'player': 'L. Dončić', 'action': 'makes 2-pt jump shot from 3 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:22.0,"{'player': 'J. Holiday', 'action': 'misses 3-pt jump shot from 25 ft'}",65-61,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:20.0,"{'player': '', 'action': ''}",65-61,"{'player': 'L. Dončić', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:13.0,"{'player': '', 'action': ''}",65-61,"{'player': 'L. Dončić', 'action': 'misses 3-pt jump shot from 26 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:10.0,"{'player': 'D. White', 'action': 'Defensive rebound by'}",65-61,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:04.0,"{'player': 'J. Holiday J. Tatum', 'action': 'J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Tatum )'}",68-61,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:47.0,"{'player': '', 'action': ''}",68-61,"{'player': 'J. Green', 'action': 'misses 3-pt jump shot from 24 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:45.0,"{'player': 'J. Tatum', 'action': 'Defensive rebound by'}",68-61,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:39.0,"{'player': 'D. White', 'action': 'misses 3-pt jump shot from 23 ft'}",68-61,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:36.0,"{'player': '', 'action': ''}",68-61,"{'player': 'J. Green', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:33.0,"{'player': '', 'action': ''}",68-61,"{'player': 'J. Green', 'action': 'Turnover by  (bad pass)'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:08.0,"{'player': 'A. Horford J. Holiday', 'action': 'A. Horford makes 3-pt jump shot from 26 ft (assist by J. Holiday )'}",71-61,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:54.0,"{'player': '', 'action': ''}",71-64,"{'player': 'K. Irving', 'action': 'makes 3-pt jump shot from 28 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:47.0,"{'player': 'L. Dončić J. Brown', 'action': 'Personal foul by L. Dončić (drawn by J. Brown )'}",71-64,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:36.0,"{'player': 'J. Brown', 'action': 'makes 2-pt jump shot from 14 ft'}",73-64,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:21.0,"{'player': '', 'action': ''}",73-64,"{'player': 'L. Dončić', 'action': 'misses 2-pt layup from 3 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:19.0,"{'player': '', 'action': ''}",73-64,"{'player': 'D. Lively', 'action': 'Offensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:18.0,"{'player': '', 'action': ''}",73-64,"{'player': 'D. Lively D. White', 'action': 'Turnover by D. Lively (lost ball; steal by D. White )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:11.0,"{'player': 'J. Green J. Brown', 'action': 'Shooting foul by J. Green (drawn by J. Brown )'}",73-64,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:11.0,"{'player': 'J. Tatum', 'action': 'makes free throw 1 of 2'}",74-64,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:11.0,"{'player': 'J. Tatum', 'action': 'misses free throw 2 of 2'}",74-64,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:09.0,"{'player': '', 'action': ''}",74-64,"{'player': 'L. Dončić', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:03.0,"{'player': '', 'action': ''}",74-64,"{'player': 'A. Horford D. Jones', 'action': 'Personal foul by A. Horford (drawn by D. Jones )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:54.0,"{'player': '', 'action': ''}",74-64,"{'player': 'D. Jones', 'action': 'misses 2-pt layup from 2 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:52.0,"{'player': 'J. Tatum', 'action': 'Defensive rebound by'}",74-64,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:44.0,"{'player': 'K. Irving J. Tatum', 'action': 'Shooting foul by K. Irving (drawn by J. Tatum )'}",74-64,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:44.0,"{'player': 'J. Tatum', 'action': 'makes free throw 1 of 2'}",75-64,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:44.0,"{'player': '', 'action': ''}",75-64,"{'player': 'T. Hardaway J. Green', 'action': 'T. Hardaway enters the game for J. Green'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:44.0,"{'player': '', 'action': ''}",75-64,"{'player': 'M. Kleber D. Lively', 'action': 'M. Kleber enters the game for D. Lively'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:44.0,"{'player': 'J. Tatum', 'action': 'makes free throw 2 of 2'}",76-64,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:33.0,"{'player': '', 'action': ''}",76-64,"{'player': 'K. Irving', 'action': 'misses 2-pt jump shot from 7 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:32.0,"{'player': '', 'action': 'Defensive rebound by Team'}",76-64,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:22.0,"{'player': 'J. Brown', 'action': 'misses 3-pt jump shot from 24 ft'}",76-64,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:19.0,"{'player': '', 'action': ''}",76-64,"{'player': 'K. Irving', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:14.0,"{'player': '', 'action': ''}",76-64,"{'player': 'K. Irving', 'action': 'misses 3-pt jump shot from 25 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:11.0,"{'player': 'A. Horford', 'action': 'Defensive rebound by'}",76-64,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:00.0,"{'player': 'J. Tatum', 'action': 'misses 3-pt jump shot from 25 ft'}",76-64,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:58.0,"{'player': '', 'action': ''}",76-64,"{'player': '', 'action': 'Defensive rebound by Team'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:43.0,"{'player': '', 'action': ''}",76-64,"{'player': 'D. Jones', 'action': 'misses 3-pt jump shot from 27 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:40.0,"{'player': 'J. Tatum', 'action': 'Defensive rebound by'}",76-64,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:31.0,"{'player': 'J. Holiday A. Horford', 'action': 'J. Holiday makes 3-pt jump shot from 24 ft (assist by A. Horford )'}",79-64,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:30.0,"{'player': '', 'action': ''}",79-64,"{'player': '', 'action': 'Dallas full timeout'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:30.0,"{'player': '', 'action': ''}",79-64,"{'player': 'G. Williams D. Jones', 'action': 'G. Williams enters the game for D. Jones'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:12.0,"{'player': '', 'action': ''}",79-66,"{'player': 'G. Williams L. Dončić', 'action': 'G. Williams makes 2-pt layup from 2 ft (assist by L. Dončić )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:51.0,"{'player': 'J. Tatum', 'action': 'misses 2-pt layup from 2 ft'}",79-66,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:48.0,"{'player': '', 'action': ''}",79-66,"{'player': 'T. Hardaway', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:45.0,"{'player': '', 'action': ''}",79-66,"{'player': 'D. White M. Kleber', 'action': 'Personal foul by D. White (drawn by M. Kleber )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:39.0,"{'player': '', 'action': ''}",79-68,"{'player': 'L. Dončić', 'action': 'makes 2-pt jump shot from 8 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:39.0,"{'player': '', 'action': ''}",79-68,"{'player': 'J. Tatum L. Dončić', 'action': 'Shooting foul by J. Tatum (drawn by L. Dončić )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:39.0,"{'player': 'P. Pritchard D. White', 'action': 'P. Pritchard enters the game for D. White'}",79-68,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:39.0,"{'player': '', 'action': ''}",79-68,"{'player': 'L. Dončić', 'action': 'misses free throw 1 of 1'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:36.0,"{'player': 'J. Tatum', 'action': 'Defensive rebound by'}",79-68,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:24.0,"{'player': 'J. Brown A. Horford', 'action': 'J. Brown makes 2-pt layup from 1 ft (assist by A. Horford )'}",81-68,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:05.0,"{'player': '', 'action': ''}",81-70,"{'player': 'L. Dončić', 'action': 'makes 2-pt layup from 2 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:44.0,"{'player': 'J. Tatum J. Brown', 'action': 'J. Tatum makes 3-pt jump shot from 25 ft (assist by J. Brown )'}",84-70,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:28.0,"{'player': '', 'action': ''}",84-70,"{'player': 'J. Brown L. Dončić', 'action': 'Shooting foul by J. Brown (drawn by L. Dončić )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:28.0,"{'player': '', 'action': ''}",84-71,"{'player': 'L. Dončić', 'action': 'makes free throw 1 of 2'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:28.0,"{'player': '', 'action': ''}",84-71,"{'player': 'J. Green K. Irving', 'action': 'J. Green enters the game for K. Irving'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:28.0,"{'player': '', 'action': ''}",84-71,"{'player': 'L. Dončić', 'action': 'misses free throw 2 of 2'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
