time,"
Boston Celtics
",score,"
Dallas Mavericks
",url
8:38.0,"{'player': '', 'action': ''}",4-5,"{'player': 'L. Dončić', 'action': 'makes free throw 1 of 1'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:25.0,"{'player': 'L. Dončić J. Tatum', 'action': 'Shooting foul by L. Dončić (drawn by J. Tatum )'}",4-5,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:25.0,"{'player': 'J. Tatum', 'action': 'makes free throw 1 of 2'}",5-5,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:25.0,"{'player': 'J. Tatum', 'action': 'makes free throw 2 of 2'}",6-5,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:18.0,"{'player': '', 'action': ''}",6-5,"{'player': 'L. Dončić J. Brown', 'action': 'L. Dončić misses 2-pt layup from 7 ft (block by J. Brown )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:17.0,"{'player': '', 'action': ''}",6-5,"{'player': '', 'action': 'Offensive rebound by Team'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:07.0,"{'player': '', 'action': ''}",6-7,"{'player': 'K. Irving', 'action': 'makes 2-pt jump shot from 15 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:54.0,"{'player': 'J. Tatum', 'action': 'misses 2-pt jump shot from 16 ft'}",6-7,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:51.0,"{'player': '', 'action': ''}",6-7,"{'player': 'L. Dončić', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:46.0,"{'player': '', 'action': ''}",6-7,"{'player': 'D. Jones A. Horford', 'action': 'Turnover by D. Jones (bad pass; steal by A. Horford )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:42.0,"{'player': 'D. White', 'action': 'misses 3-pt jump shot from 23 ft'}",6-7,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
