PW_Home,SRS_Home,Point Differential,Away Score,Home Score,Winner
46,1.48,17,96,113,1
24,-6.57,21,110,89,0
53,4.36,2,98,100,1
26,-6.45,13,108,121,1
44,1.24,19,86,105,1
48,2.75,23,113,136,1
47,2.44,3,128,131,1
57,6.39,13,124,111,0
47,2.77,6,112,118,1
49,3.41,10,116,106,0
58,7.36,4,127,123,0
34,-3.02,15,97,112,1
20,-9.29,28,136,108,0
47,1.98,6,121,115,0
29,-4.22,5,100,105,1
49,3.41,19,88,107,1
47,2.44,6,102,108,1
66,10.75,10,103,113,1
24,-6.57,22,119,97,0
53,4.36,3,116,113,0
46,1.48,13,117,130,1
34,-3.02,9,109,118,1
47,1.98,3,102,105,1
54,5.23,12,120,132,1
20,-9.06,19,126,107,0
48,2.75,4,114,110,0
49,2.51,44,94,138,1
29,-4.22,2,112,114,1
49,3.41,9,113,104,0
66,10.75,27,97,124,1
34,-3.02,12,103,115,1
47,1.98,23,105,128,1
46,1.1,7,131,124,0
53,4.36,24,91,115,1
57,6.39,3,103,106,1
46,2.3,6,115,121,1
45,2.29,1,123,124,1
20,-9.06,26,133,107,0
46,1.48,19,120,139,1
26,-6.45,7,105,112,1
24,-6.57,14,91,105,1
52,4.46,10,114,124,1
54,5.23,10,124,134,1
45,2.29,14,131,117,0
47,1.98,8,103,95,0
34,-3.02,1,129,128,0
46,1.1,10,132,142,1
53,4.36,6,112,118,1
37,-1.77,7,113,120,1
57,6.39,11,90,101,1
58,7.36,23,110,133,1
26,-5.8,2,137,135,0
47,2.77,6,114,120,1
46,1.48,5,125,130,1
66,10.75,6,119,125,1
46,2.3,14,108,94,0
26,-6.45,13,119,106,0
52,4.46,15,106,121,1
49,3.08,8,119,111,0
49,3.41,1,112,113,1
18,-10.12,6,123,117,0
34,-3.02,28,101,129,1
20,-9.06,9,110,101,0
37,-1.77,6,118,124,1
46,1.1,15,144,129,0
47,2.44,11,121,132,1
46,2.3,6,126,120,0
49,3.08,7,109,116,1
29,-4.22,5,113,118,1
45,2.29,6,117,123,1
42,1.07,10,97,107,1
48,2.75,10,112,122,1
45,2.29,10,127,117,0
47,2.44,24,122,146,1
42,1.07,3,103,106,1
47,1.98,10,111,121,1
20,-9.06,14,116,102,0
20,-9.29,5,131,126,0
36,-2.38,1,114,113,0
57,6.39,8,94,102,1
26,-6.45,9,112,103,0
37,-1.77,11,100,111,1
44,1.24,9,101,110,1
46,2.3,50,97,147,1
47,2.77,4,106,110,1
49,3.41,9,102,111,1
47,2.44,9,128,119,0
42,1.07,44,89,133,1
18,-10.12,3,116,119,1
46,1.48,32,91,123,1
49,2.51,11,114,125,1
66,10.75,10,123,133,1
34,-3.02,27,97,124,1
24,-6.57,24,127,103,0
46,1.1,12,111,99,0
58,7.36,2,136,138,1
26,-5.8,9,121,112,0
54,5.23,8,114,106,0
49,3.08,8,114,106,0
20,-8.29,13,125,112,0
29,-4.22,14,117,103,0
42,1.07,14,109,123,1
18,-10.12,2,116,114,0
20,-9.06,8,131,123,0
46,1.48,10,94,104,1
49,2.51,45,101,146,1
36,-2.38,7,129,122,0
53,4.36,6,130,136,1
44,1.24,11,82,93,1
24,-6.57,7,120,113,0
47,2.44,4,129,133,1
52,4.46,14,107,121,1
58,7.36,14,120,134,1
