PW_Home,SRS_Home,Point Differential,Away Score,Home Score,Winner
47,1.98,6,117,111,0
37,-1.77,35,127,92,0
26,-5.8,10,112,102,0
54,5.23,6,119,125,1
20,-8.29,22,121,99,0
53,4.36,27,79,106,1
24,-6.57,12,97,109,1
58,7.36,10,121,111,0
26,-5.8,2,103,101,0
29,-4.22,16,123,107,0
49,3.41,18,118,100,0
45,2.29,35,94,129,1
20,-9.06,9,104,113,1
46,1.48,8,106,114,1
48,2.75,3,132,129,0
46,1.1,12,100,88,0
24,-6.57,12,110,98,0
52,4.46,21,116,95,0
46,2.3,10,99,109,1
20,-8.29,4,102,106,1
45,2.29,13,107,120,1
66,10.75,15,112,127,1
37,-1.77,15,126,111,0
44,1.24,16,119,135,1
47,2.44,9,105,114,1
58,7.36,7,119,126,1
20,-8.29,12,105,93,0
18,-10.12,11,107,96,0
20,-9.06,13,108,95,0
26,-6.45,10,113,103,0
52,4.46,8,104,112,1
26,-5.8,11,117,106,0
29,-4.22,2,122,124,1
44,1.24,14,103,117,1
48,2.75,21,100,121,1
52,4.46,19,107,126,1
49,2.51,11,98,109,1
37,-1.77,29,98,127,1
24,-6.57,6,118,112,0
42,1.07,7,128,121,0
29,-4.22,19,119,100,0
45,2.29,7,98,91,0
47,2.44,11,129,140,1
20,-9.06,3,104,101,0
46,2.3,2,105,107,1
46,1.48,15,96,111,1
20,-9.29,26,130,104,0
26,-5.8,7,115,122,1
49,3.41,17,110,93,0
48,2.75,5,108,103,0
66,10.75,25,94,119,1
49,2.51,7,91,98,1
37,-1.77,3,107,110,1
29,-4.22,10,114,104,0
47,2.77,7,119,112,0
45,2.29,10,111,121,1
42,1.07,31,105,136,1
46,1.48,20,92,112,1
20,-9.29,23,137,114,0
34,-3.02,13,104,91,0
26,-5.8,6,113,107,0
57,6.39,3,115,112,0
47,1.98,3,107,104,0
20,-9.06,19,122,103,0
66,10.75,3,119,122,1
26,-6.45,34,123,89,0
58,7.36,12,107,119,1
47,2.77,21,116,137,1
49,3.08,13,102,115,1
20,-8.29,13,116,103,0
46,1.48,15,106,121,1
20,-9.29,7,102,109,1
44,1.24,10,117,127,1
47,2.44,7,108,115,1
46,2.3,16,97,113,1
54,5.23,13,100,113,1
49,3.08,13,115,128,1
20,-9.06,27,129,102,0
26,-6.45,20,123,103,0
46,1.1,23,111,88,0
57,6.39,13,91,104,1
26,-5.8,2,99,97,0
47,2.77,12,123,111,0
20,-8.29,8,125,117,0
42,1.07,7,94,101,1
53,4.36,12,93,105,1
46,1.48,2,109,107,0
36,-2.38,41,91,132,1
37,-1.77,11,124,113,0
44,1.24,28,119,147,1
26,-5.8,25,131,106,0
20,-9.29,3,109,112,1
20,-8.29,3,114,111,0
20,-9.06,13,114,101,0
49,3.41,14,121,107,0
46,1.1,37,84,121,1
47,2.44,25,93,118,1
57,6.39,4,110,114,1
42,1.07,5,145,150,1
47,1.98,23,92,115,1
36,-2.38,2,118,120,1
53,4.36,25,99,124,1
26,-6.45,8,96,88,0
37,-1.77,2,107,105,0
44,1.24,18,92,110,1
26,-5.8,2,102,104,1
54,5.23,25,103,128,1
29,-4.22,10,115,105,0
45,2.29,12,96,108,1
49,3.41,17,133,116,0
46,1.1,21,113,92,0
47,2.44,4,128,124,0
52,4.46,7,119,112,0
45,2.29,36,132,96,0
18,-10.12,7,111,118,1
46,1.48,8,101,93,0
20,-9.29,3,122,119,0
36,-2.38,14,106,120,1
49,2.51,1,108,107,0
26,-6.45,44,145,101,0
37,-1.77,26,99,125,1
24,-6.57,12,136,124,0
57,6.39,15,91,106,1
58,7.36,6,132,126,0
29,-4.22,7,118,111,0
54,5.23,7,104,97,0
36,-2.38,1,122,123,1
52,4.46,7,100,107,1
18,-10.12,18,115,97,0
48,2.75,19,90,109,1
46,1.48,3,100,97,0
20,-9.29,9,96,87,0
34,-3.02,17,108,125,1
47,1.98,3,114,117,1
46,1.1,60,82,142,1
58,7.36,25,103,128,1
26,-5.8,4,126,130,1
54,5.23,13,111,98,0
29,-4.22,1,101,100,0
45,2.29,4,107,103,0
52,4.46,12,104,92,0
46,1.48,30,88,118,1
36,-2.38,9,122,113,0
54,5.23,29,101,130,1
34,-3.02,12,116,104,0
18,-10.12,12,130,118,0
26,-6.45,15,135,120,0
20,-9.29,12,119,107,0
44,1.24,18,125,107,0
57,6.39,8,109,101,0
53,4.36,1,113,112,0
26,-5.8,4,117,113,0
45,2.29,21,106,127,1
18,-10.12,14,118,104,0
20,-9.06,2,110,108,0
48,2.75,22,111,133,1
46,1.48,1,103,104,1
37,-1.77,12,113,101,0
52,4.46,13,124,111,0
26,-6.45,17,128,111,0
20,-9.29,4,113,117,1
46,1.1,10,99,109,1
49,2.51,4,105,109,1
57,6.39,7,106,113,1
54,5.23,5,105,110,1
29,-4.22,16,129,113,0
47,2.77,4,100,104,1
45,2.29,14,95,109,1
18,-10.12,3,89,86,0
20,-9.29,5,125,120,0
36,-2.38,8,113,121,1
66,10.75,35,100,135,1
34,-3.02,4,111,115,1
47,2.44,10,111,101,0
57,6.39,48,85,133,1
52,4.46,9,117,108,0
49,3.08,21,101,122,1
46,2.3,14,95,109,1
46,1.1,4,109,105,0
53,4.36,11,109,120,1
44,1.24,23,133,110,0
49,3.41,2,100,102,1
18,-10.12,9,115,124,1
48,2.75,14,112,126,1
20,-9.29,6,108,102,0
66,10.75,1,100,101,1
37,-1.77,8,100,108,1
44,1.24,15,119,104,0
24,-6.57,18,90,108,1
47,2.44,6,117,111,0
52,4.46,2,111,109,0
46,2.3,2,106,108,1
49,3.08,10,87,97,1
49,3.41,29,102,131,1
42,1.07,19,97,116,1
34,-3.02,10,103,113,1
24,-6.57,20,116,96,0
54,5.23,32,110,142,1
46,2.3,11,136,147,1
49,3.41,2,118,120,1
48,2.75,2,115,117,1
66,10.75,17,107,124,1
18,-10.12,3,121,118,0
46,1.48,15,98,113,1
49,3.08,8,113,105,0
26,-6.45,8,122,130,1
47,2.44,13,122,109,0
26,-5.8,7,133,126,0
34,-3.02,30,107,77,0
47,2.77,8,110,118,1
42,1.07,10,127,117,0
18,-10.12,26,130,104,0
49,2.51,18,102,120,1
26,-6.45,17,140,123,0
36,-2.38,6,117,111,0
47,2.44,13,91,104,1
37,-1.77,11,128,117,0
44,1.24,12,106,118,1
24,-6.57,15,102,87,0
57,6.39,9,121,130,1
58,7.36,7,105,112,1
29,-4.22,16,111,95,0
42,1.07,14,134,120,0
49,3.08,13,105,92,0
20,-8.29,10,110,100,0
47,1.98,12,98,110,1
36,-2.38,1,115,114,0
34,-3.02,4,102,106,1
46,1.1,19,111,92,0
47,2.44,18,99,117,1
58,7.36,38,89,127,1
54,5.23,9,107,116,1
49,3.41,16,124,108,0
20,-9.06,22,127,105,0
66,10.75,9,118,109,0
29,-4.22,3,121,124,1
20,-8.29,8,100,92,0
45,2.29,12,135,123,0
49,2.51,12,113,125,1
20,-9.29,2,129,127,0
66,10.75,33,98,131,1
47,1.98,9,120,129,1
53,4.36,4,107,111,1
24,-6.57,3,123,120,0
46,1.1,22,103,125,1
57,6.39,3,106,109,1
58,7.36,18,107,125,1
26,-5.8,1,120,121,1
46,2.3,18,107,89,0
47,2.77,5,114,109,0
20,-8.29,9,116,107,0
49,3.41,1,110,109,0
45,2.29,1,108,107,0
66,10.75,10,122,132,1
47,1.98,10,120,110,0
48,2.75,42,115,157,1
46,1.1,15,103,118,1
53,4.36,1,119,120,1
46,1.48,25,88,113,1
49,2.51,21,86,107,1
47,2.77,7,116,123,1
49,3.41,11,116,105,0
24,-6.57,15,126,111,0
57,6.39,19,125,106,0
52,4.46,16,124,108,0
58,7.36,49,86,135,1
45,2.29,39,82,121,1
26,-5.8,28,95,123,1
52,4.46,4,110,106,0
45,2.29,24,94,118,1
49,2.51,1,104,105,1
37,-1.77,15,116,131,1
46,1.1,21,91,112,1
52,4.46,7,98,105,1
