Date,Home Team,Away Team,Home Score,Away Score,Winning Team,Losing Team,Point Differential
"Sat, Nov 25, 2023",Oklahoma City Thunder,Philadelphia 76ers,123,127,Philadelphia 76ers,Oklahoma City Thunder,4
"Sat, Nov 25, 2023",Brooklyn Nets,Miami Heat,112,97,Brooklyn Nets,Miami Heat,15
"Sat, Nov 25, 2023",Washington Wizards,Atlanta Hawks,108,136,Atlanta Hawks,Washington Wizards,28
"Sat, Nov 25, 2023",Cleveland Cavaliers,Los Angeles Lakers,115,121,Los Angeles Lakers,Cleveland Cavaliers,6
"Sat, Nov 25, 2023",Utah Jazz,New Orleans Pelicans,105,100,Utah Jazz,New Orleans Pelicans,5
"Sat, Nov 25, 2023",Los Angeles Clippers,Dallas Mavericks,107,88,Los Angeles Clippers,Dallas Mavericks,19
"Sun, Nov 26, 2023",Milwaukee Bucks,Portland Trail Blazers,108,102,Milwaukee Bucks,Portland Trail Blazers,6
"Sun, Nov 26, 2023",Boston Celtics,Atlanta Hawks,113,103,Boston Celtics,Atlanta Hawks,10
"Sun, Nov 26, 2023",Memphis Grizzlies,Minnesota Timberwolves,97,119,Minnesota Timberwolves,Memphis Grizzlies,22
"Sun, Nov 26, 2023",New York Knicks,Phoenix Suns,113,116,Phoenix Suns,New York Knicks,3
"Sun, Nov 26, 2023",Orlando Magic,Charlotte Hornets,130,117,Orlando Magic,Charlotte Hornets,13
"Sun, Nov 26, 2023",Brooklyn Nets,Chicago Bulls,118,109,Brooklyn Nets,Chicago Bulls,9
"Sun, Nov 26, 2023",Cleveland Cavaliers,Toronto Raptors,105,102,Cleveland Cavaliers,Toronto Raptors,3
"Sun, Nov 26, 2023",Denver Nuggets,San Antonio Spurs,132,120,Denver Nuggets,San Antonio Spurs,12
"Mon, Nov 27, 2023",Detroit Pistons,Washington Wizards,107,126,Washington Wizards,Detroit Pistons,19
"Mon, Nov 27, 2023",Indiana Pacers,Portland Trail Blazers,110,114,Portland Trail Blazers,Indiana Pacers,4
"Mon, Nov 27, 2023",Philadelphia 76ers,Los Angeles Lakers,138,94,Philadelphia 76ers,Los Angeles Lakers,44
"Mon, Nov 27, 2023",Utah Jazz,New Orleans Pelicans,114,112,Utah Jazz,New Orleans Pelicans,2
"Mon, Nov 27, 2023",Los Angeles Clippers,Denver Nuggets,104,113,Denver Nuggets,Los Angeles Clippers,9
"Tue, Nov 28, 2023",Boston Celtics,Chicago Bulls,124,97,Boston Celtics,Chicago Bulls,27
"Tue, Nov 28, 2023",Brooklyn Nets,Toronto Raptors,115,103,Brooklyn Nets,Toronto Raptors,12
"Tue, Nov 28, 2023",Cleveland Cavaliers,Atlanta Hawks,128,105,Cleveland Cavaliers,Atlanta Hawks,23
"Tue, Nov 28, 2023",Miami Heat,Milwaukee Bucks,124,131,Milwaukee Bucks,Miami Heat,7
"Tue, Nov 28, 2023",New York Knicks,Charlotte Hornets,115,91,New York Knicks,Charlotte Hornets,24
"Tue, Nov 28, 2023",Minnesota Timberwolves,Oklahoma City Thunder,106,103,Minnesota Timberwolves,Oklahoma City Thunder,3
"Tue, Nov 28, 2023",Dallas Mavericks,Houston Rockets,121,115,Dallas Mavericks,Houston Rockets,6
"Tue, Nov 28, 2023",Sacramento Kings,Golden State Warriors,124,123,Sacramento Kings,Golden State Warriors,1
"Wed, Nov 29, 2023",Detroit Pistons,Los Angeles Lakers,107,133,Los Angeles Lakers,Detroit Pistons,26
"Wed, Nov 29, 2023",Orlando Magic,Washington Wizards,139,120,Orlando Magic,Washington Wizards,19
"Wed, Nov 29, 2023",Toronto Raptors,Phoenix Suns,112,105,Toronto Raptors,Phoenix Suns,7
"Wed, Nov 29, 2023",Memphis Grizzlies,Utah Jazz,105,91,Memphis Grizzlies,Utah Jazz,14
"Wed, Nov 29, 2023",New Orleans Pelicans,Philadelphia 76ers,124,114,New Orleans Pelicans,Philadelphia 76ers,10
"Wed, Nov 29, 2023",Denver Nuggets,Houston Rockets,134,124,Denver Nuggets,Houston Rockets,10
"Wed, Nov 29, 2023",Sacramento Kings,Los Angeles Clippers,117,131,Los Angeles Clippers,Sacramento Kings,14
"Thu, Nov 30, 2023",Cleveland Cavaliers,Portland Trail Blazers,95,103,Portland Trail Blazers,Cleveland Cavaliers,8
"Thu, Nov 30, 2023",Brooklyn Nets,Charlotte Hornets,128,129,Charlotte Hornets,Brooklyn Nets,1
"Thu, Nov 30, 2023",Miami Heat,Indiana Pacers,142,132,Miami Heat,Indiana Pacers,10
"Thu, Nov 30, 2023",New York Knicks,Detroit Pistons,118,112,New York Knicks,Detroit Pistons,6
"Thu, Nov 30, 2023",Chicago Bulls,Milwaukee Bucks,120,113,Chicago Bulls,Milwaukee Bucks,7
"Thu, Nov 30, 2023",Minnesota Timberwolves,Utah Jazz,101,90,Minnesota Timberwolves,Utah Jazz,11
"Thu, Nov 30, 2023",Oklahoma City Thunder,Los Angeles Lakers,133,110,Oklahoma City Thunder,Los Angeles Lakers,23
"Thu, Nov 30, 2023",San Antonio Spurs,Atlanta Hawks,135,137,Atlanta Hawks,San Antonio Spurs,2
"Thu, Nov 30, 2023",Golden State Warriors,Los Angeles Clippers,120,114,Golden State Warriors,Los Angeles Clippers,6
"Fri, Dec 1, 2023",Orlando Magic,Washington Wizards,130,125,Orlando Magic,Washington Wizards,5
"Fri, Dec 1, 2023",Boston Celtics,Philadelphia 76ers,125,119,Boston Celtics,Philadelphia 76ers,6
"Fri, Dec 1, 2023",Dallas Mavericks,Memphis Grizzlies,94,108,Memphis Grizzlies,Dallas Mavericks,14
"Fri, Dec 1, 2023",Toronto Raptors,New York Knicks,106,119,New York Knicks,Toronto Raptors,13
"Fri, Dec 1, 2023",New Orleans Pelicans,San Antonio Spurs,121,106,New Orleans Pelicans,San Antonio Spurs,15
"Fri, Dec 1, 2023",Phoenix Suns,Denver Nuggets,111,119,Denver Nuggets,Phoenix Suns,8
"Sat, Dec 2, 2023",Los Angeles Clippers,Golden State Warriors,113,112,Los Angeles Clippers,Golden State Warriors,1
"Sat, Dec 2, 2023",Charlotte Hornets,Minnesota Timberwolves,117,123,Minnesota Timberwolves,Charlotte Hornets,6
"Sat, Dec 2, 2023",Brooklyn Nets,Orlando Magic,129,101,Brooklyn Nets,Orlando Magic,28
"Sat, Dec 2, 2023",Detroit Pistons,Cleveland Cavaliers,101,110,Cleveland Cavaliers,Detroit Pistons,9
"Sat, Dec 2, 2023",Chicago Bulls,New Orleans Pelicans,124,118,Chicago Bulls,New Orleans Pelicans,6
"Sat, Dec 2, 2023",Miami Heat,Indiana Pacers,129,144,Indiana Pacers,Miami Heat,15
"Sat, Dec 2, 2023",Milwaukee Bucks,Atlanta Hawks,132,121,Milwaukee Bucks,Atlanta Hawks,11
"Sat, Dec 2, 2023",Dallas Mavericks,Oklahoma City Thunder,120,126,Oklahoma City Thunder,Dallas Mavericks,6
"Sat, Dec 2, 2023",Phoenix Suns,Memphis Grizzlies,116,109,Phoenix Suns,Memphis Grizzlies,7
"Sat, Dec 2, 2023",Utah Jazz,Portland Trail Blazers,118,113,Utah Jazz,Portland Trail Blazers,5
"Sat, Dec 2, 2023",Sacramento Kings,Denver Nuggets,123,117,Sacramento Kings,Denver Nuggets,6
"Sat, Dec 2, 2023",Los Angeles Lakers,Houston Rockets,107,97,Los Angeles Lakers,Houston Rockets,10
"Mon, Dec 4, 2023",Indiana Pacers,Boston Celtics,122,112,Indiana Pacers,Boston Celtics,10
"Mon, Dec 4, 2023",Sacramento Kings,New Orleans Pelicans,117,127,New Orleans Pelicans,Sacramento Kings,10
"Tue, Dec 5, 2023",Milwaukee Bucks,New York Knicks,146,122,Milwaukee Bucks,New York Knicks,24
"Tue, Dec 5, 2023",Los Angeles Lakers,Phoenix Suns,106,103,Los Angeles Lakers,Phoenix Suns,3
"Wed, Dec 6, 2023",Cleveland Cavaliers,Orlando Magic,121,111,Cleveland Cavaliers,Orlando Magic,10
"Wed, Dec 6, 2023",Detroit Pistons,Memphis Grizzlies,102,116,Memphis Grizzlies,Detroit Pistons,14
"Wed, Dec 6, 2023",Washington Wizards,Philadelphia 76ers,126,131,Philadelphia 76ers,Washington Wizards,5
"Wed, Dec 6, 2023",Atlanta Hawks,Brooklyn Nets,113,114,Brooklyn Nets,Atlanta Hawks,1
"Wed, Dec 6, 2023",Minnesota Timberwolves,San Antonio Spurs,102,94,Minnesota Timberwolves,San Antonio Spurs,8
"Wed, Dec 6, 2023",Toronto Raptors,Miami Heat,103,112,Miami Heat,Toronto Raptors,9
"Wed, Dec 6, 2023",Chicago Bulls,Charlotte Hornets,111,100,Chicago Bulls,Charlotte Hornets,11
"Wed, Dec 6, 2023",Houston Rockets,Oklahoma City Thunder,110,101,Houston Rockets,Oklahoma City Thunder,9
"Wed, Dec 6, 2023",Dallas Mavericks,Utah Jazz,147,97,Dallas Mavericks,Utah Jazz,50
"Wed, Dec 6, 2023",Golden State Warriors,Portland Trail Blazers,110,106,Golden State Warriors,Portland Trail Blazers,4
"Wed, Dec 6, 2023",Los Angeles Clippers,Denver Nuggets,111,102,Los Angeles Clippers,Denver Nuggets,9
"Thu, Dec 7, 2023",Milwaukee Bucks,Indiana Pacers,119,128,Indiana Pacers,Milwaukee Bucks,9
"Thu, Dec 7, 2023",Los Angeles Lakers,New Orleans Pelicans,133,89,Los Angeles Lakers,New Orleans Pelicans,44
"Fri, Dec 8, 2023",Charlotte Hornets,Toronto Raptors,119,116,Charlotte Hornets,Toronto Raptors,3
"Fri, Dec 8, 2023",Orlando Magic,Detroit Pistons,123,91,Orlando Magic,Detroit Pistons,32
"Fri, Dec 8, 2023",Philadelphia 76ers,Atlanta Hawks,125,114,Philadelphia 76ers,Atlanta Hawks,11
"Fri, Dec 8, 2023",Boston Celtics,New York Knicks,133,123,Boston Celtics,New York Knicks,10
"Fri, Dec 8, 2023",Brooklyn Nets,Washington Wizards,124,97,Brooklyn Nets,Washington Wizards,27
"Fri, Dec 8, 2023",Memphis Grizzlies,Minnesota Timberwolves,103,127,Minnesota Timberwolves,Memphis Grizzlies,24
"Fri, Dec 8, 2023",Miami Heat,Cleveland Cavaliers,99,111,Cleveland Cavaliers,Miami Heat,12
"Fri, Dec 8, 2023",Oklahoma City Thunder,Golden State Warriors,138,136,Oklahoma City Thunder,Golden State Warriors,2
"Fri, Dec 8, 2023",San Antonio Spurs,Chicago Bulls,112,121,Chicago Bulls,San Antonio Spurs,9
"Fri, Dec 8, 2023",Denver Nuggets,Houston Rockets,106,114,Houston Rockets,Denver Nuggets,8
"Fri, Dec 8, 2023",Phoenix Suns,Sacramento Kings,106,114,Sacramento Kings,Phoenix Suns,8
"Fri, Dec 8, 2023",Portland Trail Blazers,Dallas Mavericks,112,125,Dallas Mavericks,Portland Trail Blazers,13
"Fri, Dec 8, 2023",Utah Jazz,Los Angeles Clippers,103,117,Los Angeles Clippers,Utah Jazz,14
"Sat, Dec 9, 2023",Los Angeles Lakers,Indiana Pacers,123,109,Los Angeles Lakers,Indiana Pacers,14
"Mon, Dec 11, 2023",Charlotte Hornets,Miami Heat,114,116,Miami Heat,Charlotte Hornets,2
"Mon, Dec 11, 2023",Detroit Pistons,Indiana Pacers,123,131,Indiana Pacers,Detroit Pistons,8
"Mon, Dec 11, 2023",Orlando Magic,Cleveland Cavaliers,104,94,Orlando Magic,Cleveland Cavaliers,10
"Mon, Dec 11, 2023",Philadelphia 76ers,Washington Wizards,146,101,Philadelphia 76ers,Washington Wizards,45
"Mon, Dec 11, 2023",Atlanta Hawks,Denver Nuggets,122,129,Denver Nuggets,Atlanta Hawks,7
"Mon, Dec 11, 2023",New York Knicks,Toronto Raptors,136,130,New York Knicks,Toronto Raptors,6
"Mon, Dec 11, 2023",Houston Rockets,San Antonio Spurs,93,82,Houston Rockets,San Antonio Spurs,11
"Mon, Dec 11, 2023",Memphis Grizzlies,Dallas Mavericks,113,120,Dallas Mavericks,Memphis Grizzlies,7
"Mon, Dec 11, 2023",Milwaukee Bucks,Chicago Bulls,133,129,Milwaukee Bucks,Chicago Bulls,4
"Mon, Dec 11, 2023",New Orleans Pelicans,Minnesota Timberwolves,121,107,New Orleans Pelicans,Minnesota Timberwolves,14
"Mon, Dec 11, 2023",Oklahoma City Thunder,Utah Jazz,134,120,Oklahoma City Thunder,Utah Jazz,14
"Mon, Dec 11, 2023",Sacramento Kings,Brooklyn Nets,131,118,Sacramento Kings,Brooklyn Nets,13
"Mon, Dec 11, 2023",Los Angeles Clippers,Portland Trail Blazers,132,127,Los Angeles Clippers,Portland Trail Blazers,5
"Tue, Dec 12, 2023",Boston Celtics,Cleveland Cavaliers,120,113,Boston Celtics,Cleveland Cavaliers,7
"Tue, Dec 12, 2023",Dallas Mavericks,Los Angeles Lakers,127,125,Dallas Mavericks,Los Angeles Lakers,2
"Tue, Dec 12, 2023",Chicago Bulls,Denver Nuggets,106,114,Denver Nuggets,Chicago Bulls,8
"Tue, Dec 12, 2023",Phoenix Suns,Golden State Warriors,119,116,Phoenix Suns,Golden State Warriors,3
"Tue, Dec 12, 2023",Los Angeles Clippers,Sacramento Kings,119,99,Los Angeles Clippers,Sacramento Kings,20
"Wed, Dec 13, 2023",Detroit Pistons,Philadelphia 76ers,111,129,Philadelphia 76ers,Detroit Pistons,18
"Wed, Dec 13, 2023",Washington Wizards,New Orleans Pelicans,122,142,New Orleans Pelicans,Washington Wizards,20
"Wed, Dec 13, 2023",Miami Heat,Charlotte Hornets,115,104,Miami Heat,Charlotte Hornets,11
"Wed, Dec 13, 2023",Toronto Raptors,Atlanta Hawks,135,128,Toronto Raptors,Atlanta Hawks,7
"Wed, Dec 13, 2023",Houston Rockets,Memphis Grizzlies,117,104,Houston Rockets,Memphis Grizzlies,13
"Wed, Dec 13, 2023",Milwaukee Bucks,Indiana Pacers,140,126,Milwaukee Bucks,Indiana Pacers,14
"Wed, Dec 13, 2023",San Antonio Spurs,Los Angeles Lakers,119,122,Los Angeles Lakers,San Antonio Spurs,3
"Wed, Dec 13, 2023",Phoenix Suns,Brooklyn Nets,112,116,Brooklyn Nets,Phoenix Suns,4
"Wed, Dec 13, 2023",Utah Jazz,New York Knicks,117,113,Utah Jazz,New York Knicks,4
"Thu, Dec 14, 2023",Boston Celtics,Cleveland Cavaliers,116,107,Boston Celtics,Cleveland Cavaliers,9
"Thu, Dec 14, 2023",Miami Heat,Chicago Bulls,116,124,Chicago Bulls,Miami Heat,8
"Thu, Dec 14, 2023",Dallas Mavericks,Minnesota Timberwolves,101,119,Minnesota Timberwolves,Dallas Mavericks,18
"Thu, Dec 14, 2023",Denver Nuggets,Brooklyn Nets,124,101,Denver Nuggets,Brooklyn Nets,23
"Thu, Dec 14, 2023",Portland Trail Blazers,Utah Jazz,114,122,Utah Jazz,Portland Trail Blazers,8
"Thu, Dec 14, 2023",Sacramento Kings,Oklahoma City Thunder,128,123,Sacramento Kings,Oklahoma City Thunder,5
"Thu, Dec 14, 2023",Los Angeles Clippers,Golden State Warriors,121,113,Los Angeles Clippers,Golden State Warriors,8
"Fri, Dec 15, 2023",Charlotte Hornets,New Orleans Pelicans,107,112,New Orleans Pelicans,Charlotte Hornets,5
"Fri, Dec 15, 2023",Philadelphia 76ers,Detroit Pistons,124,92,Philadelphia 76ers,Detroit Pistons,32
"Fri, Dec 15, 2023",Washington Wizards,Indiana Pacers,137,123,Washington Wizards,Indiana Pacers,14
"Fri, Dec 15, 2023",Boston Celtics,Orlando Magic,128,111,Boston Celtics,Orlando Magic,17
"Fri, Dec 15, 2023",San Antonio Spurs,Los Angeles Lakers,129,115,San Antonio Spurs,Los Angeles Lakers,14
"Fri, Dec 15, 2023",Toronto Raptors,Atlanta Hawks,104,125,Atlanta Hawks,Toronto Raptors,21
"Fri, Dec 15, 2023",Memphis Grizzlies,Houston Rockets,96,103,Houston Rockets,Memphis Grizzlies,7
"Fri, Dec 15, 2023",Phoenix Suns,New York Knicks,122,139,New York Knicks,Phoenix Suns,17
"Sat, Dec 16, 2023",Milwaukee Bucks,Detroit Pistons,146,114,Milwaukee Bucks,Detroit Pistons,32
"Sat, Dec 16, 2023",Charlotte Hornets,Philadelphia 76ers,82,135,Philadelphia 76ers,Charlotte Hornets,53
"Sat, Dec 16, 2023",Cleveland Cavaliers,Atlanta Hawks,127,119,Cleveland Cavaliers,Atlanta Hawks,8
"Sat, Dec 16, 2023",Miami Heat,Chicago Bulls,118,116,Miami Heat,Chicago Bulls,2
"Sat, Dec 16, 2023",Minnesota Timberwolves,Indiana Pacers,127,109,Minnesota Timberwolves,Indiana Pacers,18
"Sat, Dec 16, 2023",Golden State Warriors,Brooklyn Nets,124,120,Golden State Warriors,Brooklyn Nets,4
"Sat, Dec 16, 2023",Denver Nuggets,Oklahoma City Thunder,117,118,Oklahoma City Thunder,Denver Nuggets,1
"Sat, Dec 16, 2023",Portland Trail Blazers,Dallas Mavericks,120,131,Dallas Mavericks,Portland Trail Blazers,11
"Sat, Dec 16, 2023",Sacramento Kings,Utah Jazz,125,104,Sacramento Kings,Utah Jazz,21
"Sat, Dec 16, 2023",Los Angeles Clippers,New York Knicks,144,122,Los Angeles Clippers,New York Knicks,22
"Sun, Dec 17, 2023",Boston Celtics,Orlando Magic,114,97,Boston Celtics,Orlando Magic,17
"Sun, Dec 17, 2023",San Antonio Spurs,New Orleans Pelicans,110,146,New Orleans Pelicans,San Antonio Spurs,36
"Sun, Dec 17, 2023",Milwaukee Bucks,Houston Rockets,128,119,Milwaukee Bucks,Houston Rockets,9
"Sun, Dec 17, 2023",Phoenix Suns,Washington Wizards,112,108,Phoenix Suns,Washington Wizards,4
"Sun, Dec 17, 2023",Portland Trail Blazers,Golden State Warriors,114,118,Golden State Warriors,Portland Trail Blazers,4
"Mon, Dec 18, 2023",Cleveland Cavaliers,Houston Rockets,135,130,Cleveland Cavaliers,Houston Rockets,5
"Mon, Dec 18, 2023",Indiana Pacers,Los Angeles Clippers,127,151,Los Angeles Clippers,Indiana Pacers,24
"Mon, Dec 18, 2023",Philadelphia 76ers,Chicago Bulls,104,108,Chicago Bulls,Philadelphia 76ers,4
"Mon, Dec 18, 2023",Atlanta Hawks,Detroit Pistons,130,124,Atlanta Hawks,Detroit Pistons,6
"Mon, Dec 18, 2023",Miami Heat,Minnesota Timberwolves,108,112,Minnesota Timberwolves,Miami Heat,4
"Mon, Dec 18, 2023",Toronto Raptors,Charlotte Hornets,114,99,Toronto Raptors,Charlotte Hornets,15
"Mon, Dec 18, 2023",Oklahoma City Thunder,Memphis Grizzlies,116,97,Oklahoma City Thunder,Memphis Grizzlies,19
"Mon, Dec 18, 2023",Denver Nuggets,Dallas Mavericks,130,104,Denver Nuggets,Dallas Mavericks,26
"Mon, Dec 18, 2023",Utah Jazz,Brooklyn Nets,125,108,Utah Jazz,Brooklyn Nets,17
"Mon, Dec 18, 2023",Sacramento Kings,Washington Wizards,143,131,Sacramento Kings,Washington Wizards,12
"Mon, Dec 18, 2023",Los Angeles Lakers,New York Knicks,109,114,New York Knicks,Los Angeles Lakers,5
"Tue, Dec 19, 2023",New Orleans Pelicans,Memphis Grizzlies,113,115,Memphis Grizzlies,New Orleans Pelicans,2
"Tue, Dec 19, 2023",Milwaukee Bucks,San Antonio Spurs,132,119,Milwaukee Bucks,San Antonio Spurs,13
"Tue, Dec 19, 2023",Golden State Warriors,Boston Celtics,132,126,Golden State Warriors,Boston Celtics,6
"Tue, Dec 19, 2023",Portland Trail Blazers,Phoenix Suns,109,104,Portland Trail Blazers,Phoenix Suns,5
"Wed, Dec 20, 2023",Cleveland Cavaliers,Utah Jazz,124,116,Cleveland Cavaliers,Utah Jazz,8
"Wed, Dec 20, 2023",Indiana Pacers,Charlotte Hornets,144,113,Indiana Pacers,Charlotte Hornets,31
"Wed, Dec 20, 2023",Orlando Magic,Miami Heat,106,115,Miami Heat,Orlando Magic,9
"Wed, Dec 20, 2023",Philadelphia 76ers,Minnesota Timberwolves,127,113,Philadelphia 76ers,Minnesota Timberwolves,14
"Wed, Dec 20, 2023",Brooklyn Nets,New York Knicks,102,121,New York Knicks,Brooklyn Nets,19
"Wed, Dec 20, 2023",Toronto Raptors,Denver Nuggets,104,113,Denver Nuggets,Toronto Raptors,9
"Wed, Dec 20, 2023",Chicago Bulls,Los Angeles Lakers,124,108,Chicago Bulls,Los Angeles Lakers,16
"Wed, Dec 20, 2023",Houston Rockets,Atlanta Hawks,127,134,Atlanta Hawks,Houston Rockets,7
"Wed, Dec 20, 2023",Dallas Mavericks,Los Angeles Clippers,111,120,Los Angeles Clippers,Dallas Mavericks,9
"Wed, Dec 20, 2023",Sacramento Kings,Boston Celtics,119,144,Boston Celtics,Sacramento Kings,25
"Thu, Dec 21, 2023",Detroit Pistons,Utah Jazz,111,119,Utah Jazz,Detroit Pistons,8
"Thu, Dec 21, 2023",Cleveland Cavaliers,New Orleans Pelicans,104,123,New Orleans Pelicans,Cleveland Cavaliers,19
"Thu, Dec 21, 2023",Chicago Bulls,San Antonio Spurs,114,95,Chicago Bulls,San Antonio Spurs,19
"Thu, Dec 21, 2023",Memphis Grizzlies,Indiana Pacers,116,103,Memphis Grizzlies,Indiana Pacers,13
"Thu, Dec 21, 2023",Milwaukee Bucks,Orlando Magic,118,114,Milwaukee Bucks,Orlando Magic,4
"Thu, Dec 21, 2023",Oklahoma City Thunder,Los Angeles Clippers,134,115,Oklahoma City Thunder,Los Angeles Clippers,19
"Thu, Dec 21, 2023",Minnesota Timberwolves,Los Angeles Lakers,118,111,Minnesota Timberwolves,Los Angeles Lakers,7
"Thu, Dec 21, 2023",Portland Trail Blazers,Washington Wizards,117,118,Washington Wizards,Portland Trail Blazers,1
"Fri, Dec 22, 2023",Philadelphia 76ers,Toronto Raptors,121,111,Philadelphia 76ers,Toronto Raptors,10
"Fri, Dec 22, 2023",Brooklyn Nets,Denver Nuggets,117,122,Denver Nuggets,Brooklyn Nets,5
"Fri, Dec 22, 2023",Houston Rockets,Dallas Mavericks,122,96,Houston Rockets,Dallas Mavericks,26
"Fri, Dec 22, 2023",Miami Heat,Atlanta Hawks,122,113,Miami Heat,Atlanta Hawks,9
"Fri, Dec 22, 2023",Golden State Warriors,Washington Wizards,129,118,Golden State Warriors,Washington Wizards,11
"Fri, Dec 22, 2023",Sacramento Kings,Phoenix Suns,120,105,Sacramento Kings,Phoenix Suns,15
"Sat, Dec 23, 2023",New York Knicks,Milwaukee Bucks,111,130,Milwaukee Bucks,New York Knicks,19
"Sat, Dec 23, 2023",Los Angeles Clippers,Boston Celtics,108,145,Boston Celtics,Los Angeles Clippers,37
"Sat, Dec 23, 2023",Charlotte Hornets,Denver Nuggets,95,102,Denver Nuggets,Charlotte Hornets,7
"Sat, Dec 23, 2023",Indiana Pacers,Orlando Magic,110,117,Orlando Magic,Indiana Pacers,7
"Sat, Dec 23, 2023",New Orleans Pelicans,Houston Rockets,104,106,Houston Rockets,New Orleans Pelicans,2
"Sat, Dec 23, 2023",Atlanta Hawks,Memphis Grizzlies,119,125,Memphis Grizzlies,Atlanta Hawks,6
"Sat, Dec 23, 2023",Brooklyn Nets,Detroit Pistons,126,115,Brooklyn Nets,Detroit Pistons,11
"Sat, Dec 23, 2023",Toronto Raptors,Utah Jazz,119,126,Utah Jazz,Toronto Raptors,7
"Sat, Dec 23, 2023",Chicago Bulls,Cleveland Cavaliers,95,109,Cleveland Cavaliers,Chicago Bulls,14
"Sat, Dec 23, 2023",Oklahoma City Thunder,Los Angeles Lakers,120,129,Los Angeles Lakers,Oklahoma City Thunder,9
"Sat, Dec 23, 2023",Dallas Mavericks,San Antonio Spurs,144,119,Dallas Mavericks,San Antonio Spurs,25
"Sat, Dec 23, 2023",Golden State Warriors,Portland Trail Blazers,126,106,Golden State Warriors,Portland Trail Blazers,20
"Sat, Dec 23, 2023",Sacramento Kings,Minnesota Timberwolves,98,110,Minnesota Timberwolves,Sacramento Kings,12
"Mon, Dec 25, 2023",New York Knicks,Milwaukee Bucks,129,122,New York Knicks,Milwaukee Bucks,7
"Mon, Dec 25, 2023",Denver Nuggets,Golden State Warriors,120,114,Denver Nuggets,Golden State Warriors,6
"Mon, Dec 25, 2023",Los Angeles Lakers,Boston Celtics,115,126,Boston Celtics,Los Angeles Lakers,11
"Mon, Dec 25, 2023",Miami Heat,Philadelphia 76ers,119,113,Miami Heat,Philadelphia 76ers,6
"Mon, Dec 25, 2023",Phoenix Suns,Dallas Mavericks,114,128,Dallas Mavericks,Phoenix Suns,14
"Tue, Dec 26, 2023",Detroit Pistons,Brooklyn Nets,112,118,Brooklyn Nets,Detroit Pistons,6
"Tue, Dec 26, 2023",Washington Wizards,Orlando Magic,119,127,Orlando Magic,Washington Wizards,8
"Tue, Dec 26, 2023",Chicago Bulls,Atlanta Hawks,118,113,Chicago Bulls,Atlanta Hawks,5
"Tue, Dec 26, 2023",Houston Rockets,Indiana Pacers,117,123,Indiana Pacers,Houston Rockets,6
"Tue, Dec 26, 2023",New Orleans Pelicans,Memphis Grizzlies,115,116,Memphis Grizzlies,New Orleans Pelicans,1
"Tue, Dec 26, 2023",Oklahoma City Thunder,Minnesota Timberwolves,129,106,Oklahoma City Thunder,Minnesota Timberwolves,23
"Tue, Dec 26, 2023",San Antonio Spurs,Utah Jazz,118,130,Utah Jazz,San Antonio Spurs,12
"Tue, Dec 26, 2023",Portland Trail Blazers,Sacramento Kings,130,113,Portland Trail Blazers,Sacramento Kings,17
"Tue, Dec 26, 2023",Los Angeles Clippers,Charlotte Hornets,113,104,Los Angeles Clippers,Charlotte Hornets,9
"Wed, Dec 27, 2023",Orlando Magic,Philadelphia 76ers,92,112,Philadelphia 76ers,Orlando Magic,20
"Wed, Dec 27, 2023",Washington Wizards,Toronto Raptors,102,132,Toronto Raptors,Washington Wizards,30
"Wed, Dec 27, 2023",Brooklyn Nets,Milwaukee Bucks,122,144,Milwaukee Bucks,Brooklyn Nets,22
"Wed, Dec 27, 2023",Houston Rockets,Phoenix Suns,113,129,Phoenix Suns,Houston Rockets,16
"Wed, Dec 27, 2023",Oklahoma City Thunder,New York Knicks,129,120,Oklahoma City Thunder,New York Knicks,9
"Wed, Dec 27, 2023",Dallas Mavericks,Cleveland Cavaliers,110,113,Cleveland Cavaliers,Dallas Mavericks,3
"Thu, Dec 28, 2023",Boston Celtics,Detroit Pistons,128,122,Boston Celtics,Detroit Pistons,6
"Thu, Dec 28, 2023",Chicago Bulls,Indiana Pacers,104,120,Indiana Pacers,Chicago Bulls,16
"Thu, Dec 28, 2023",Minnesota Timberwolves,Dallas Mavericks,118,110,Minnesota Timberwolves,Dallas Mavericks,8
"Thu, Dec 28, 2023",New Orleans Pelicans,Utah Jazz,112,105,New Orleans Pelicans,Utah Jazz,7
"Thu, Dec 28, 2023",Denver Nuggets,Memphis Grizzlies,142,105,Denver Nuggets,Memphis Grizzlies,37
"Thu, Dec 28, 2023",Golden State Warriors,Miami Heat,102,114,Miami Heat,Golden State Warriors,12
"Thu, Dec 28, 2023",Portland Trail Blazers,San Antonio Spurs,105,118,San Antonio Spurs,Portland Trail Blazers,13
"Thu, Dec 28, 2023",Los Angeles Lakers,Charlotte Hornets,133,112,Los Angeles Lakers,Charlotte Hornets,21
"Fri, Dec 29, 2023",Orlando Magic,New York Knicks,117,108,Orlando Magic,New York Knicks,9
"Fri, Dec 29, 2023",Washington Wizards,Brooklyn Nets,110,104,Washington Wizards,Brooklyn Nets,6
"Fri, Dec 29, 2023",Atlanta Hawks,Sacramento Kings,110,117,Sacramento Kings,Atlanta Hawks,7
"Fri, Dec 29, 2023",Boston Celtics,Toronto Raptors,120,118,Boston Celtics,Toronto Raptors,2
"Fri, Dec 29, 2023",Cleveland Cavaliers,Milwaukee Bucks,111,119,Milwaukee Bucks,Cleveland Cavaliers,8
